name	partnerprotein	partnerprotein_textbox	target_order	target_species	activity	taxonid	lc50	units	percentage_mortality	publication	other_citations	life_stage	instar	assay_material	assay_method	comment
Vip14	No	No	Lepidoptera	Plutella xylostella	Yes	51655	32	ng/cm2			"Sattar	 S.	 Biswas	 P. K.	 Hossain	 M. A.	 Maiti	 M. K.	 Sen	 S. K.	 & Basu	 A. (2008). Search for vegetative insecticidal proteins (VIPs) from local isolates of Bacillus thuringiensis effective against lepidopteran and homopteran insect pests. J. Biopestic	 1(2)	 216-222."	larvae	1st Instar		Diet incorporation	Named as Vip14 in publication.
261sip01	No	No	Coleoptera	Holotrichia parallela	Yes	93412	18.5	µg/g			CN106905420B	larvae				
261sip02	No	No	Coleoptera	Holotrichia parallela	Yes	93412	26.4	µg/g			CN107022009B	larvae				
APG00002	No	No	Hemiptera	Euschistus servus	Yes	756488					WO2016168289A1	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""some"" mortality observed at 50 ppm."
APG00008	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			greater than 80% at 500 ul		KR20170101247A	larvae	1st Instar		Diet incorporation	It was stated that 125 ul of the sonicated lysate was added to the diet surface
APG00010	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			greater than 80% at 125 ul		KR20170101247A	larvae	1st Instar		Diet incorporation	It was stated that 125 ul of the sonicated lysate was added to the diet surface
APG00034	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			greater than 80% at 125 ul		KR20170101247A	larvae	1st Instar		Diet incorporation	It was stated that 125 ul of the sonicated lysate was added to the diet surface
APG00039	No	No	Lepidoptera	Helicoverpa zea	Yes	7113					KR20170101247A	larvae			Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""some growth inhibition"" observed."
APG00046	No	No	Hemiptera	Euschistus servus	Yes	756488					WO2016168289A1	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""some"" mortality observed at >500 ppm."
APG00052	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			50-80% at 500 ul		KR20170101247A	larvae	1st Instar		Diet incorporation	It was stated that 125 ul of the sonicated lysate was added to the diet surface
APG00056	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00059	No	No	Hemiptera	Euschistus servus	Yes	756488					WO2016168289A1	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""some"" mortality observed at <10ppm"
APG00065	No	No	Lepidoptera	Helicoverpa zea	Yes	7113					KR20170101247A	larvae			Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""some growth inhibition"" observed."
APG00073	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00076	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			50-80% at 125 ul		KR20170101247A	larvae	1st Instar		Diet incorporation	It was stated that 125 ul of the sonicated lysate was added to the diet surface
APG00078	No	No	Lepidoptera	Helicoverpa zea	Yes	7113					KR20180019668A	larvae			Diet incorporation	"It was stated that there was ""insecticidal activity"" observed when 125 ?l of protein lysate was added to diet surface."
APG00084	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0-50% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00108	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			60-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00116	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00121	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0-50% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00124	No	No	Lepidoptera	Helicoverpa zea	Yes	7113					KR20170101247A	larvae			Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""growth inhibition"" observed."
APG00130	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			greater than 80% at 500 ul		KR20170101247A	larvae	1st Instar		Diet incorporation	It was stated that 125 ul of the sonicated lysate was added to the diet surface
APG00134	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			60-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00152	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			50-80% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00164	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0-50% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00175	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108					AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the ""protein construct"" was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00176	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00177	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			60-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00186	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0-50% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00194	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00200	No	No	Coleoptera	Leptinotarsa decemlineata	Yes	7539					AU2016252027B2	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was pesticidal activity observed."
APG00210	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00227	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0-50% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00239	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00248	No	No	Coleoptera	Leptinotarsa decemlineata	Yes	7539					AU2016252027B2	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was pesitcidal activity observed."
APG00267	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			50-80% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00273	No	No	Lepidoptera	Diatraea grandiosella	Yes	61289					AU2016252027B2	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was slight stunting observed."
APG00290	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00291	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00297	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			50-80% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00309	No	No	Hemiptera	Chinavia hilaris	Yes	244443			0.25		CN108271390A	larvae			Diet incorporation	No specific concentration provided for observed mortality %.
APG00330	No	No	Hemiptera	Chinavia hilaris	Yes	244443			0.25		CN108271390A	larvae			Diet incorporation	No specific concentration provided for observed mortality %.
APG00342	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			80-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
